t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,1.402835453967581003e+01,3.597164546032418997e+01,0.000000000000000000e+00,3.959000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,1.402835453967581003e+01,3.597164546032418997e+01,0.000000000000000000e+00,3.959000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.402835453967581003e+01,3.597164546032418997e+01,0.000000000000000000e+00,3.959000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.441915404174171655e+01,3.558084595825827989e+01,9.114811347808601250e-01,3.929999999999999716e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.445958157643817898e+01,3.554041842356181746e+01,9.446482835175928905e-01,3.927000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.445958157643817898e+01,3.554041842356181746e+01,8.813000885392134887e-01,3.927000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.445958157643817898e+01,3.554041842356181746e+01,8.222000289536974815e-01,3.927000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.445958157643817898e+01,3.554041842356181746e+01,7.670632244369527397e-01,3.927000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.445958157643817898e+01,3.554041842356181746e+01,7.156238987638737781e-01,3.927000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.445958157643817898e+01,3.554041842356181746e+01,6.676340986858242399e-01,3.927000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.445958157643817898e+01,3.554041842356181746e+01,6.228624987203048580e-01,3.927000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,1.445958157643817898e+01,3.554041842356181746e+01,5.810932860915289933e-01,3.927000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,1.424396805805699984e+01,3.575603194194300016e+01,3.923897711962953672e-02,3.942999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,1.420354052336052675e+01,3.579645947663946970e+01,-5.768354392804898867e-02,3.946000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,1.402835453967581003e+01,3.597164546032418997e+01,-4.624102719743451440e-01,3.959000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,1.402835453967581003e+01,3.597164546032418997e+01,-4.314009994438767204e-01,3.959000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,1.402835453967581003e+01,3.597164546032418997e+01,-4.024712113910416389e-01,3.959000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,1.363755503760991417e+01,3.636244496239008583e+01,-1.286962592189111021e+00,3.988000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,1.359712750291344996e+01,3.640287249708654826e+01,-1.294949922161878542e+00,3.990999999999999659e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,1.342194151922873502e+01,3.657805848077126143e+01,-1.616705460680691431e+00,4.003999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,1.316590046615108101e+01,3.683409953384892077e+01,-2.105466348915676633e+00,4.022999999999999687e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,1.316590046615108101e+01,3.683409953384892077e+01,-1.964273594830665992e+00,4.022999999999999687e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,1.272119758448988058e+01,3.727880241551012119e+01,-2.869751909566843562e+00,4.056000000000000227e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,1.268077004979340749e+01,3.731922995020659073e+01,-2.771597252054538885e+00,4.059000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,1.228997054772751163e+01,3.771002945227248659e+01,-3.497214837207255567e+00,4.088000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,1.215521209873927866e+01,3.784478790126072312e+01,-3.576995149613604319e+00,4.097999999999999687e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,1.185874351096514268e+01,3.814125648903485910e+01,-4.028589994917444628e+00,4.120000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,1.185874351096514268e+01,3.814125648903485910e+01,-3.758432404056564202e+00,4.120000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,1.142751647420277372e+01,3.857248352579722450e+01,-4.512163891083028844e+00,4.152000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,1.133318555991100496e+01,3.866681444008899859e+01,-4.429590480942517061e+00,4.159000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+01,5.000000000000000000e+01,1.098281359254158218e+01,3.901718640745841782e+01,-4.949731745975106456e+00,4.185000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.100000000000000000e+01,5.000000000000000000e+01,1.090195852314864489e+01,3.909804147685135689e+01,-4.806384613968082142e+00,4.190999999999999659e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.200000000000000000e+01,5.000000000000000000e+01,1.055158655577921323e+01,3.944841344422079032e+01,-5.301258032097155848e+00,4.217000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.300000000000000000e+01,5.000000000000000000e+01,1.020121458840979045e+01,3.979878541159020955e+01,-5.762945196328066011e+00,4.242999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.400000000000000000e+01,5.000000000000000000e+01,1.012035951901684427e+01,3.987964048098315573e+01,-5.565063900536665997e+00,4.249000000000000199e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.500000000000000000e+01,5.000000000000000000e+01,9.729560016950948409e+00,4.027043998304905159e+01,-6.103351372459625779e+00,4.278000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.600000000000000000e+01,5.000000000000000000e+01,9.689132482254473544e+00,4.031086751774552823e+01,-5.788351257403544281e+00,4.281000000000000227e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
