t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,2.532111256489035256e+01,2.467888743510964744e+01,0.000000000000000000e+00,3.121000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,2.532111256489035256e+01,2.467888743510964744e+01,0.000000000000000000e+00,3.121000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,2.532111256489035256e+01,2.467888743510964744e+01,0.000000000000000000e+00,3.121000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,2.549629854857506572e+01,2.450370145142493428e+01,4.085949914534882654e-01,3.107999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,2.557715361796800835e+01,2.442284638203199165e+01,5.697768800018419011e-01,3.101999999999999957e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,2.553672608327153526e+01,2.446327391672846474e+01,4.372764416471480731e-01,3.105000000000000071e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,2.549629854857506572e+01,2.450370145142493428e+01,3.136614940619593672e-01,3.107999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,2.540196763428329874e+01,2.459803236571670126e+01,7.261463964070999366e-02,3.114999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,2.532111256489035256e+01,2.467888743510964744e+01,-1.208372080743795457e-01,3.121000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,2.532111256489035256e+01,2.467888743510964744e+01,-1.127338545286191152e-01,3.121000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,2.532111256489035256e+01,2.467888743510964744e+01,-1.051739125672041947e-01,3.121000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,2.518635411590211248e+01,2.481364588409788752e+01,-4.124247805422373014e-01,3.130999999999999872e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,2.493031306282445669e+01,2.506968693717554331e+01,-9.819448345590504612e-01,3.150000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,2.488988552812798005e+01,2.511011447187201995e+01,-1.010386681540293985e+00,3.153000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,2.471469954444327044e+01,2.528530045555672956e+01,-1.351225055401208408e+00,3.166000000000000014e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,2.444518264646679029e+01,2.555481735353320971e+01,-1.889219466360218203e+00,3.185999999999999943e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,2.432390004237737458e+01,2.567609995762262542e+01,-2.045401702402980249e+00,3.194999999999999929e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,2.401395560970442133e+01,2.598604439029557867e+01,-2.631135719701956255e+00,3.217999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,2.375791455662676910e+01,2.624208544337323090e+01,-3.051868827691416541e+00,3.236999999999999744e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,2.358272857294205238e+01,2.641727142705794762e+01,-3.255805233596928527e+00,3.250000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,2.315150153617968343e+01,2.684849846382031657e+01,-4.043242941818379066e+00,3.282000000000000028e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,2.315150153617968343e+01,2.684849846382031657e+01,-3.772102723080558384e+00,3.282000000000000028e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,2.272027449941731447e+01,2.727972550058268553e+01,-4.524917477339855942e+00,3.314000000000000057e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,2.258551605042907084e+01,2.741448394957092916e+01,-4.535779962484116190e+00,3.324000000000000199e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,2.227557161775612116e+01,2.772442838224387884e+01,-4.954508999895665511e+00,3.346999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,2.184434458099375220e+01,2.815565541900624780e+01,-5.628031487737641392e+00,3.378999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,2.166915859730903904e+01,2.833084140269096096e+01,-5.659210204530610966e+00,3.392000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,2.141311754423138325e+01,2.858688245576861675e+01,-5.876880377646904741e+00,3.410999999999999943e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,2.098189050746901430e+01,2.901810949253098570e+01,-6.488548561723373354e+00,3.442999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,2.088755959317724731e+01,2.911244040682275269e+01,-6.273438625922967304e+00,3.450000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+01,5.000000000000000000e+01,2.053718762580782453e+01,2.946281237419217547e+01,-6.669931276082940563e+00,3.475999999999999801e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.100000000000000000e+01,5.000000000000000000e+01,2.010596058904545558e+01,2.989403941095454442e+01,-7.228417398837249763e+00,3.507999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.200000000000000000e+01,5.000000000000000000e+01,1.967473355228308662e+01,3.032526644771691338e+01,-7.749451394260931991e+00,3.539999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.300000000000000000e+01,5.000000000000000000e+01,1.945912003390189682e+01,3.054087996609810318e+01,-7.732658661900203789e+00,3.556000000000000227e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.400000000000000000e+01,5.000000000000000000e+01,1.924350651552071767e+01,3.075649348447928233e+01,-7.716992051613000392e+00,3.571999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.500000000000000000e+01,5.000000000000000000e+01,1.881227947875834516e+01,3.118772052124165484e+01,-8.205262188883802210e+00,3.603999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.600000000000000000e+01,5.000000000000000000e+01,1.863709349507363200e+01,3.136290650492636800e+01,-8.063611593636391461e+00,3.617000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.700000000000000000e+01,5.000000000000000000e+01,1.836757659709715540e+01,3.163242340290284460e+01,-8.151472787170819245e+00,3.636999999999999744e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.800000000000000000e+01,5.000000000000000000e+01,1.793634956033478645e+01,3.206365043966521000e+01,-8.610606609020630131e+00,3.668999999999999773e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.900000000000000000e+01,5.000000000000000000e+01,1.789592202563831336e+01,3.210407797436168664e+01,-8.127469742585727630e+00,3.671999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+01,5.000000000000000000e+01,1.750512252357241749e+01,3.249487747642758251e+01,-8.493922058791877561e+00,3.700999999999999801e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.100000000000000000e+01,5.000000000000000000e+01,1.707389548681004854e+01,3.292610451318995501e+01,-8.930091203091992114e+00,3.732999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.200000000000000000e+01,5.000000000000000000e+01,1.680437858883356483e+01,3.319562141116643517e+01,-8.959846199640418618e+00,3.753000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.300000000000000000e+01,5.000000000000000000e+01,1.662919260514885877e+01,3.337080739485114123e+01,-8.767593135860487052e+00,3.765999999999999659e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.400000000000000000e+01,5.000000000000000000e+01,1.619796556838648627e+01,3.380203443161351373e+01,-9.185409874241301509e+00,3.797999999999999687e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.500000000000000000e+01,5.000000000000000000e+01,1.576673853162411909e+01,3.423326146837587913e+01,-9.575207786282200928e+00,3.829999999999999716e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.600000000000000000e+01,5.000000000000000000e+01,1.545679409895116052e+01,3.454320590104883593e+01,-9.655992361260960166e+00,3.853000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.700000000000000000e+01,5.000000000000000000e+01,1.533551149486175014e+01,3.466448850513825164e+01,-9.291334140295882449e+00,3.861999999999999744e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.800000000000000000e+01,5.000000000000000000e+01,1.489080861320054971e+01,3.510919138679945206e+01,-9.705459145920926289e+00,3.895000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.900000000000000000e+01,5.000000000000000000e+01,1.459434002542642261e+01,3.540565997457358094e+01,-9.746078669583964071e+00,3.917000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+01,5.000000000000000000e+01,1.445958157643817898e+01,3.554041842356181746e+01,-9.406809637007992109e+00,3.927000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.100000000000000000e+01,5.000000000000000000e+01,1.402835453967581003e+01,3.597164546032418997e+01,-9.781760461953485475e+00,3.959000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.200000000000000000e+01,5.000000000000000000e+01,1.367798257230638903e+01,3.632201742769360919e+01,-9.942984748645747217e+00,3.985000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.300000000000000000e+01,5.000000000000000000e+01,1.359712750291344996e+01,3.640287249708654826e+01,-9.464789641674222764e+00,3.990999999999999659e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.400000000000000000e+01,5.000000000000000000e+01,1.316590046615108101e+01,3.683409953384892077e+01,-9.835852322529975211e+00,4.022999999999999687e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.500000000000000000e+01,5.000000000000000000e+01,1.272119758448988058e+01,3.727880241551012119e+01,-1.021346189211464406e+01,4.056000000000000227e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.600000000000000000e+01,5.000000000000000000e+01,1.233039808242398472e+01,3.766960191757601706e+01,-1.044002739571826410e+01,4.085000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.700000000000000000e+01,5.000000000000000000e+01,1.211478456404280557e+01,3.788521543595719265e+01,-1.024280440574905704e+01,4.100999999999999801e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.800000000000000000e+01,5.000000000000000000e+01,1.181831597626867847e+01,3.818168402373132153e+01,-1.024738951016396271e+01,4.122999999999999687e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.900000000000000000e+01,5.000000000000000000e+01,1.142751647420277372e+01,3.857248352579722450e+01,-1.047167982478897663e+01,4.152000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+01,5.000000000000000000e+01,1.098281359254158218e+01,3.901718640745841782e+01,-1.080665074749466470e+01,4.185000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.100000000000000000e+01,5.000000000000000000e+01,1.059201409047568632e+01,3.940798590952431368e+01,-1.099343695553900346e+01,4.214000000000000057e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.200000000000000000e+01,5.000000000000000000e+01,1.047073148638627593e+01,3.952926851361372229e+01,-1.053908958527952855e+01,4.222999999999999687e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.300000000000000000e+01,5.000000000000000000e+01,1.012035951901684427e+01,3.987964048098315573e+01,-1.064952731595477609e+01,4.249000000000000199e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.400000000000000000e+01,5.000000000000000000e+01,9.729560016950948409e+00,4.027043998304905159e+01,-1.084685023480516897e+01,4.278000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.500000000000000000e+01,5.000000000000000000e+01,9.689132482254473544e+00,4.031086751774552823e+01,-1.021375067887291266e+01,4.281000000000000227e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.600000000000000000e+01,5.000000000000000000e+01,9.257905445492104590e+00,4.074209455450789363e+01,-1.053458796828561894e+01,4.313000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.700000000000000000e+01,5.000000000000000000e+01,8.813202563830914826e+00,4.118679743616908695e+01,-1.086534026548858201e+01,4.346000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.800000000000000000e+01,5.000000000000000000e+01,8.557161510753260814e+00,4.144283848924673919e+01,-1.073388690983891713e+01,4.364999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.900000000000000000e+01,5.000000000000000000e+01,8.381975527068545873e+00,4.161802447293145235e+01,-1.042266652375492519e+01,4.378000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+01,5.000000000000000000e+01,7.950748490306176031e+00,4.204925150969382486e+01,-1.072949389867715375e+01,4.410000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.100000000000000000e+01,5.000000000000000000e+01,7.735134971924995995e+00,4.226486502807500756e+01,-1.051285926017261296e+01,4.425999999999999801e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.200000000000000000e+01,5.000000000000000000e+01,7.425190539252037425e+00,4.257480946074796435e+01,-1.053076484682717862e+01,4.449000000000000199e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.300000000000000000e+01,5.000000000000000000e+01,7.074818571882615537e+00,4.292518142811738358e+01,-1.064176083517758897e+01,4.475000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.400000000000000000e+01,5.000000000000000000e+01,6.643591535120246583e+00,4.335640846487975608e+01,-1.093389572676943544e+01,4.507000000000000028e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.500000000000000000e+01,5.000000000000000000e+01,6.603164000423772606e+00,4.339683599957622562e+01,-1.029495889267433917e+01,4.510000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.600000000000000000e+01,5.000000000000000000e+01,6.212364498357876741e+00,4.378763550164212148e+01,-1.051605920042497644e+01,4.539000000000000057e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.700000000000000000e+01,5.000000000000000000e+01,5.781137461595507787e+00,4.421886253840449399e+01,-1.081662365443317242e+01,4.571000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.800000000000000000e+01,5.000000000000000000e+01,5.471193028922558987e+00,4.452880697107744368e+01,-1.081415877473440368e+01,4.593999999999999773e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.900000000000000000e+01,5.000000000000000000e+01,5.255579510541370070e+00,4.474442048945863348e+01,-1.059184650237411418e+01,4.610000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+01,5.000000000000000000e+01,4.864780008475474204e+00,4.513521999152452224e+01,-1.079303750153436958e+01,4.639000000000000057e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.100000000000000000e+01,5.000000000000000000e+01,4.473980506409578339e+00,4.552601949359042521e+01,-1.098073661502132481e+01,4.667999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.200000000000000000e+01,5.000000000000000000e+01,4.083181004343682474e+00,4.591681899565631397e+01,-1.115584860984633231e+01,4.696999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.300000000000000000e+01,5.000000000000000000e+01,4.002325934950735409e+00,4.599767406504926726e+01,-1.059631874823423203e+01,4.703000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.400000000000000000e+01,5.000000000000000000e+01,3.611526432884839544e+00,4.638847356711516312e+01,-1.079720983820322466e+01,4.732000000000000028e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.500000000000000000e+01,5.000000000000000000e+01,3.382437069604828928e+00,4.661756293039517374e+01,-1.060746454693951257e+01,4.749000000000000199e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.600000000000000000e+01,5.000000000000000000e+01,3.085968481830701826e+00,4.691403151816929551e+01,-1.058759551098488672e+01,4.771000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.700000000000000000e+01,5.000000000000000000e+01,2.735596514461279494e+00,4.726440348553872184e+01,-1.069478043011871371e+01,4.796999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.800000000000000000e+01,5.000000000000000000e+01,2.344797012395384073e+00,4.765520298760461770e+01,-1.088906867124888578e+01,4.825999999999999801e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.900000000000000000e+01,5.000000000000000000e+01,2.304369477698910096e+00,4.769563052230108724e+01,-1.025313794334481265e+01,4.828999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+01,5.000000000000000000e+01,1.873142440936540920e+00,4.812685755906345975e+01,-1.057133391942115352e+01,4.860999999999999943e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.100000000000000000e+01,5.000000000000000000e+01,1.778811526644772378e+00,4.822118847335522673e+01,-1.008243204707985363e+01,4.867999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.200000000000000000e+01,5.000000000000000000e+01,1.428439559275350268e+00,4.857156044072465306e+01,-1.022349327146482167e+01,4.893999999999999773e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.300000000000000000e+01,5.000000000000000000e+01,9.972125225129808701e-01,4.900278747748701846e+01,-1.054367722178204048e+01,4.925999999999999801e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.400000000000000000e+01,5.000000000000000000e+01,5.659854857506115833e-01,4.943401451424939097e+01,-1.084238960890738568e+01,4.957999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.500000000000000000e+01,5.000000000000000000e+01,5.659854857506115833e-01,4.943401451424939097e+01,-1.011529803105683634e+01,4.957999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.600000000000000000e+01,5.000000000000000000e+01,1.751859836847158292e-01,4.982481401631528684e+01,-1.034844641160907663e+01,4.986999999999999744e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.700000000000000000e+01,5.000000000000000000e+01,1.347584489882422132e-01,4.986524155101175637e+01,-9.748769858841793479e+00,4.989999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.800000000000000000e+01,5.000000000000000000e+01,-4.042753469647362291e-02,5.004042753469647664e+01,-9.503611506757071226e+00,5.003000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.900000000000000000e+01,5.000000000000000000e+01,-2.964685877741271014e-01,5.029646858777412888e+01,-9.463475798554529916e+00,5.021999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+02,5.000000000000000000e+01,-2.964685877741271014e-01,5.029646858777412888e+01,-8.828854299187943511e+00,5.021999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.010000000000000000e+02,5.000000000000000000e+01,-7.411714694353178645e-01,5.074117146943531509e+01,-9.273993242655503622e+00,5.054999999999999716e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.020000000000000000e+02,5.000000000000000000e+01,-7.411714694353178645e-01,5.074117146943531509e+01,-8.652078459752102546e+00,5.054999999999999716e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.030000000000000000e+02,5.000000000000000000e+01,-1.172398506197687151e+00,5.117239850619768760e+01,-9.077641622228169282e+00,5.086999999999999744e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.040000000000000000e+02,5.000000000000000000e+01,-1.253253575590634439e+00,5.125325357559063377e+01,-8.657476499592608121e+00,5.092999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.050000000000000000e+02,5.000000000000000000e+01,-1.603625542960056549e+00,5.160362554296006010e+01,-8.894095365305851431e+00,5.118999999999999773e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.060000000000000000e+02,5.000000000000000000e+01,-1.859666596037719666e+00,5.185966659603771944e+01,-8.894833861868034930e+00,5.138000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.070000000000000000e+02,5.000000000000000000e+01,-2.034852579722425947e+00,5.203485257972242550e+01,-8.706940531039577991e+00,5.150999999999999801e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.080000000000000000e+02,5.000000000000000000e+01,-2.304369477698910096e+00,5.230436947769891276e+01,-8.751660030810402446e+00,5.171000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
