t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,3.981588462760886671e+01,3.921470865557792962e+01,6.011759720309355348e-01,0.000000000000000000e+00,2.089999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.041706059963980380e+01,3.921470865557792962e+01,1.202351944061871070e+00,0.000000000000000000e+00,2.089999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,4.101823657167073378e+01,3.921470865557792962e+01,1.803527916092806604e+00,0.000000000000000000e+00,2.089999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,4.161941254370167087e+01,3.921470865557792962e+01,2.404703888123742139e+00,0.000000000000000000e+00,2.089999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,4.222058851573260796e+01,3.921470865557792962e+01,3.005879860154677452e+00,0.000000000000000000e+00,2.089999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,4.282176448776354505e+01,3.921470865557792962e+01,3.607055832185612765e+00,0.000000000000000000e+00,2.089999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,4.342294045979447503e+01,3.921470865557792962e+01,4.208231804216548078e+00,0.000000000000000000e+00,2.089999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,4.388877797621172050e+01,3.917428112088145298e+01,4.808788007204152670e+00,-9.429115187388362185e-02,2.092999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,4.345806252556608484e+01,3.886433668820850329e+01,5.404592647526220262e+00,-8.108668101686415941e-01,2.116000000000000014e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,4.383756705255299835e+01,3.878348161881555711e+01,5.999157749761626413e+00,-9.450723160241872867e-01,2.121999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,4.449550878542306975e+01,3.878348161881555711e+01,6.593722851997032564e+00,-8.816956853895180357e-01,2.121999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,4.411160564963116570e+01,3.847353718614260742e+01,7.183536391566902601e+00,-1.545467928078345654e+00,2.144999999999999929e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,4.439904303427510968e+01,3.835225458205319171e+01,7.771490624006779591e+00,-1.724702171784860072e+00,2.153999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,4.451618930140534047e+01,3.817706859836847144e+01,8.356759190592223163e+00,-2.017638487555350579e+00,2.167000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,4.433450450739621829e+01,3.790755170039199129e+01,8.937895963555460455e+00,-2.510943156551233457e+00,2.187000000000000099e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,4.422688179174939904e+01,3.765151064731433905e+01,9.515107532577602001e+00,-2.939736388142539347e+00,2.205999999999999872e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,4.441476569430563615e+01,3.747632466362962589e+01,1.008963343574531102e+01,-3.151192405069301206e+00,2.219000000000000128e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,4.389233909304697789e+01,3.708552516156373002e+01,1.065816823816082071e+01,-3.851354306677572836e+00,2.248000000000000043e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,4.458380759024294804e+01,3.704509762686725338e+01,1.122608327153299967e+01,-3.687373308157305907e+00,2.251000000000000156e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,4.395538800096028353e+01,3.661387059010488798e+01,1.178738743510965037e+01,-4.445870024254256592e+00,2.282999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
